Epoch 100, Loss nan, Accuracy 0.3327, Val Loss 1.4736, Val Accuracy 0.3712, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.2758, Val Loss 1.4708, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.2823, Val Loss 1.4703, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.2824, Val Loss 1.4695, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.2818, Val Loss 1.4712, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.2813, Val Loss 1.4703, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.2837, Val Loss 1.4719, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.2798, Val Loss 1.4697, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.2792, Val Loss 1.4699, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.2815, Val Loss 1.4696, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.2807, Val Loss 1.4698, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.2822, Val Loss 1.4708, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.2807, Val Loss 1.4700, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.2825, Val Loss 1.4698, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.2812, Val Loss 1.4701, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.2803, Val Loss 1.4616, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.2812, Val Loss 1.4648, Val Accuracy 0.3709, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
